brand,model_family,variant,market_region,start_year,end_year,euro_or_emission,fuel,engine_family,power_hp,torque_nm,transmission,axle_config,drive,cab,body_types_supported,wheelbase_mm_min,wheelbase_mm_max,gvwr_kg,gcwr_kg,retarder,pto,adas,source_type,source_note
DAF,XF,XF 410,EU,2021,,Euro VI-e,Diesel,PACCAR MX-13,410,3075,Traxon AMT,4x2;6x2;6x4,RWD,Sleeper;High roof,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
DAF,XF,XF 450,EU,2021,,Euro VI-e,Diesel,PACCAR MX-13,450,3375,Traxon AMT,4x2;6x2;6x4,RWD,Sleeper;High roof,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
DAF,XF,XF 480,EU,2021,,Euro VI-e,Diesel,PACCAR MX-13,480,3600,Traxon AMT,4x2;6x2;6x4,RWD,Sleeper;High roof,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
DAF,XF,XF 530,EU,2021,,Euro VI-e,Diesel,PACCAR MX-13,530,3975,Traxon AMT,4x2;6x2;6x4,RWD,Sleeper;High roof,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,18.430,EU,2020,,Euro VI-e,Diesel,D26,430,3225,TipMatic AMT,4x2,RWD,GX;GM;GN,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,18.470,EU,2020,,Euro VI-e,Diesel,D26,470,3525,TipMatic AMT,4x2,RWD,GX;GM;GN,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,18.480,EU,2020,,Euro VI-e,Diesel,D26,480,3600,TipMatic AMT,4x2,RWD,GX;GM;GN,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,18.500,EU,2020,,Euro VI-e,Diesel,D26,500,3750,TipMatic AMT,4x2,RWD,GX;GM;GN,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,18.510,EU,2020,,Euro VI-e,Diesel,D26,510,3825,TipMatic AMT,4x2,RWD,GX;GM;GN,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,18.520,EU,2020,,Euro VI-e,Diesel,D26,520,3900,TipMatic AMT,4x2,RWD,GX;GM;GN,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,18.540,EU,2020,,Euro VI-e,Diesel,D26,540,4050,TipMatic AMT,4x2,RWD,GX;GM;GN,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,26.430,EU,2020,,Euro VI-e,Diesel,D26,430,3225,TipMatic AMT,6x2;6x4,RWD,GX;GM;GN,tractor;chassis;box;loader-crane,3600,5900,26000,60000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,26.470,EU,2020,,Euro VI-e,Diesel,D26,470,3525,TipMatic AMT,6x2;6x4,RWD,GX;GM;GN,tractor;chassis;box;loader-crane,3600,5900,26000,60000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,26.480,EU,2020,,Euro VI-e,Diesel,D26,480,3600,TipMatic AMT,6x2;6x4,RWD,GX;GM;GN,tractor;chassis;box;loader-crane,3600,5900,26000,60000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,26.500,EU,2020,,Euro VI-e,Diesel,D26,500,3750,TipMatic AMT,6x2;6x4,RWD,GX;GM;GN,tractor;chassis;box;loader-crane,3600,5900,26000,60000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,26.510,EU,2020,,Euro VI-e,Diesel,D26,510,3825,TipMatic AMT,6x2;6x4,RWD,GX;GM;GN,tractor;chassis;box;loader-crane,3600,5900,26000,60000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,26.520,EU,2020,,Euro VI-e,Diesel,D26,520,3900,TipMatic AMT,6x2;6x4,RWD,GX;GM;GN,tractor;chassis;box;loader-crane,3600,5900,26000,60000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
MAN,TGX,26.540,EU,2020,,Euro VI-e,Diesel,D26,540,4050,TipMatic AMT,6x2;6x4,RWD,GX;GM;GN,tractor;chassis;box;loader-crane,3600,5900,26000,60000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Volvo Trucks,FH,FH 420,EU,2020,,Euro VI-e,Diesel,D13K,420,3150,I-Shift AMT,4x2;6x2;6x4,RWD,Sleeper;Globetrotter,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Volvo Trucks,FH,FH 460,EU,2020,,Euro VI-e,Diesel,D13K,460,3450,I-Shift AMT,4x2;6x2;6x4,RWD,Sleeper;Globetrotter,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Volvo Trucks,FH,FH 500,EU,2020,,Euro VI-e,Diesel,D13K,500,3750,I-Shift AMT,4x2;6x2;6x4,RWD,Sleeper;Globetrotter,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Volvo Trucks,FH,FH 540,EU,2020,,Euro VI-e,Diesel,D13K,540,4050,I-Shift AMT,4x2;6x2;6x4,RWD,Sleeper;Globetrotter,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Mercedes-Benz,Actros,Actros 450,EU,2019,,Euro VI-e,Diesel,OM471,450,3375,Powershift AMT,4x2;6x2;6x4,RWD,StreamSpace;BigSpace;GigaSpace,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Mercedes-Benz,Actros,Actros 480,EU,2019,,Euro VI-e,Diesel,OM471,480,3600,Powershift AMT,4x2;6x2;6x4,RWD,StreamSpace;BigSpace;GigaSpace,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Mercedes-Benz,Actros,Actros 510,EU,2019,,Euro VI-e,Diesel,OM471,510,3825,Powershift AMT,4x2;6x2;6x4,RWD,StreamSpace;BigSpace;GigaSpace,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Iveco,S-Way,S-Way 460,EU,2019,,Euro VI-e,Diesel,Cursor 11/13,460,3450,Hi-Tronix AMT,4x2;6x2;6x4,RWD,Sleeper;High roof,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Iveco,S-Way,S-Way 500,EU,2019,,Euro VI-e,Diesel,Cursor 11/13,500,3750,Hi-Tronix AMT,4x2;6x2;6x4,RWD,Sleeper;High roof,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Iveco,S-Way,S-Way 570,EU,2019,,Euro VI-e,Diesel,Cursor 11/13,570,4275,Hi-Tronix AMT,4x2;6x2;6x4,RWD,Sleeper;High roof,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Renault Trucks,T,T 440,EU,2021,,Euro VI-e,Diesel,DTI 13,440,3300,Optidriver AMT,4x2;6x2;6x4,RWD,Sleeper;High roof,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Renault Trucks,T,T 480,EU,2021,,Euro VI-e,Diesel,DTI 13,480,3600,Optidriver AMT,4x2;6x2;6x4,RWD,Sleeper;High roof,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
Renault Trucks,T,T 520,EU,2021,,Euro VI-e,Diesel,DTI 13,520,3900,Optidriver AMT,4x2;6x2;6x4,RWD,Sleeper;High roof,tractor;chassis,3600,4000,19000,44000,hydraulic,engine;gearbox,ACC;LDW;AEB;ESP,inferred,Starter row; replace with brochure values
